id,label,type,default_selected,always_selected,catalog_ref,pricing_kind,flat_cad,per_seat_cad,base_cad,tier_max_users,tier_cad,pricing_url,warning_key
catena_suite,Catena Suite,catena_bundled,,true,,,,,,,,,
nextcloud,Nextcloud,catena_managed,,,nextcloud-s3-oidc,,,,,,,,
office_editor,OnlyOffice / Collabora,catena_managed,,,,,,,,,,,
rocketchat,Rocket.Chat,catena_managed,,,rocketchat-oidc,,,,,,,,
element,Element / Matrix,catena_managed,,,element,,,,,,,,
espocrm,EspoCRM,catena_managed,,,espocrm,,,,,,,,
twenty,Twenty,catena_managed,,,twenty,,,,,,,,
plane,Plane,catena_managed,,,plane,,,,,,,,
zammad,Zammad,catena_managed,,,zammad,,,,,,,,
chatwoot,Chatwoot,catena_managed,,,chatwoot,,,,,,,,
easyappointments,Easy!Appointments,catena_managed,,,easyappointments,,,,,,,,
docuseal,DocuSeal,catena_managed,,,docuseal,,,,,,,,
outline,Outline,catena_managed,,,outline,,,,,,,,
wordpress,WordPress,catena_managed,,,wordpress,,,,,,,,
n8n,n8n,catena_managed,,,n8n,,,,,,,,
postiz,Postiz,catena_managed,,,postiz,,,,,,,,
mautic,Mautic,catena_managed,,,mautic,,,,,,,,
vaultwarden,Vaultwarden,catena_managed,,,,,,,,,,,
invoiceninja,Invoice Ninja,catena_managed,,,invoiceninja,,,,,,,,
kimai,Kimai,catena_managed,,,kimai,,,,,,,,
erpnext,ERPNext,catena_managed,,,erpnext,,,,,,,,erpnext_not_recommended
qbo_easystart,QuickBooks Online EasyStart,external_saas,,,,tiered_by_users,,,,1,30,https://quickbooks.intuit.com/ca/pricing/,
qbo_plus,QuickBooks Online Plus,external_saas,,,,tiered_by_users,,,,5,110,https://quickbooks.intuit.com/ca/pricing/,
qbo_advanced,QuickBooks Online Advanced,external_saas,,,,tiered_by_users,,,,25,220,https://quickbooks.intuit.com/ca/pricing/,
qbo_time,QuickBooks Time,external_saas,,,,per_seat_plus_base,,10,30,,,https://quickbooks.intuit.com/ca/pricing/,
qbo_payroll_easystart,QuickBooks Online Payroll EasyStart,external_saas,,,,per_seat_plus_base,,5,60,,,https://quickbooks.intuit.com/ca/payroll/,
qbo_payroll_essentials,QuickBooks Online Payroll Essentials,external_saas,,,,per_seat_plus_base,,5,100,,,https://quickbooks.intuit.com/ca/payroll/,
qbo_payroll_premium,QuickBooks Online Payroll Premium,external_saas,,,,per_seat_plus_base,,8,165,,,https://quickbooks.intuit.com/ca/payroll/,
wagepoint,Wagepoint,external_saas,,,,per_seat_plus_base,,6,40,,,https://wagepoint.com/ca/pricing,
infomaniak_mail,Infomaniak Mail,external_saas,,,,per_seat,,2.5,,,,https://www.infomaniak.com/en/mail,
mailbox_org,Mailbox.org,external_saas,,,,per_seat_plus_base,,1.65,40,,,https://mailbox.org/en/private-customers,
ovh_email_pro,OVH Email Pro,external_saas,,,,per_seat,,6.7,,,,https://www.ovhcloud.com/en-ca/emails/email-pro/,
proton_mail_business,Proton Mail Business,external_saas,,,,per_seat,,12,,,,https://proton.me/business,
appflowy,AppFlowy,catena_managed,,,,,,,,,,https://appflowy.com/,
memos,Memos,catena_managed,,,,,,,,,,https://usememos.com/,
bitwarden_free,Bitwarden,external_saas,,,,flat,0,,,,,https://bitwarden.com/pricing/,
voipms,VoIP.ms (per extension),external_saas,,,,per_seat,,1.1,,,,https://wiki.voip.ms/,
m365_business_premium,Microsoft 365 Business Premium,external_saas,,,,per_seat,,29.8,,,,https://www.microsoft.com/en-ca/microsoft-365/business/compare-all-plans,
gws_business_standard,Google Workspace Business Standard,external_saas,,,,per_seat,,18.4,,,,https://workspace.google.com/pricing,
odoo_ce,Odoo Community Edition,external_saas,,,,flat,0,,,,,https://www.odoo.com/page/editions,
odoo_enterprise,Odoo Enterprise,external_saas,,,,per_seat,,35.2,,,,https://www.odoo.com/page/pricing-plan,
shopify,Shopify (Basic),external_saas,,,,flat,49,,,,,https://www.shopify.com/ca/pricing,
